1-20	1013-28-CG33	11-24	211ds20	661239	Absconditabacteriales_(SR1)	Acetobacterales	Acholeplasmatales	Acidiferrobacterales	Acidimicrobiales	Acidithiobacillales	Acidobacteriales	Actinomarinales	Actinomycetales	ADurb.Bin180	Aeromonadales	Alteromonadales	Aminicenantales	Anaerolineales	Anaeroplasmatales	ANME-1	Aphagea	Ardenticatenales	Armatimonadales	Azospirillales	B12-WMSP1	B2M28	Babeliales	Bacillales	Bacteroidales	Bacteroidetes_VC2.1_Bac22	Balneolales	Bdellovibrionales	Beggiatoales	Betaproteobacteriales	Bifidobacteriales	Blastocatellales	Brachyspirales	Bradymonadales	Brevinematales	C0119	C10-SB1A	Caedibacterales	Caldatribacteriales	Caldilineales	Caldisericales	Calditrichales	Campylobacterales	Candidatus_Curtissbacteria	Candidatus_Gottesmanbacteria	Candidatus_Kaiserbacteria	Candidatus_Moranbacteria	Candidatus_Peribacteria	Candidatus_Woesebacteria	Cardiobacteriales	Catenulisporales	Caulobacterales	CCD24	Cellvibrionales	Chitinivibrionales	Chitinophagales	Chlamydiales	Chlamydomonadales	Chloroflexales	Chloroplast	Chromatiales	Chthoniobacterales	Chthonomonadales	Cloacimonadales	Clostridiales	Competibacterales	Coriobacteriales	Corynebacteriales	Cytophagales	D8A-2	Dadabacteriales	Deferribacterales	Dehalococcoidales	Deinococcales	Deltaproteobacteria_Incertae_Sedis	Desulfarculales	Desulfobacterales	Desulfovibrionales	Desulfuromonadales	Diplorickettsiales	Dongiales	DS-100	DTU014	EC3	Ectothiorhodospirales	Elsterales	Enterobacteriales	Entotheonellales	EPR3968-O8a-Bc78	Erysipelotrichales	EV818SWSAP88	Fibrobacterales	Fimbriimonadales	Flavobacteriales	Frankiales	FS117-23B-02	FS118-23B-02	Fusobacteriales	Ga0077536	Gaiellales	Gammaproteobacteria_Incertae_Sedis	Gastranaerophilales	Geitlerinematales	Gemmatales	Gemmatimonadales	GIF3	GIF9	Glycomycetales	Halanaerobiales	Holophagales	Holosporales	Hydrogenedentiales	Ignavibacteriales	IMCC26256	Isosphaerales	Izimaplasmatales	JdFR-54	JG36-GS-52	JG36-TzT-191	JGI_0000069-P22	Kallotenuales	KI89A_clade	Kordiimonadales	Kryptoniales	Ktedonobacterales	Lactobacillales	Latescibacterales	LD1-PB3	Legionellales	Leptospirales	Limnochordales	Lineage_IV	Longimicrobiales	Marine_Benthic_Group_D_and_DHVEG-1	MBNT15	Methanobacteriales	Methanomicrobiales	Methanosarcinales	Methylococcales	Methylomirabilales	Micavibrionales	Micrococcales	Micromonosporales	Micropepsales	Microtrichales	Moduliflexales	Mollicutes_RF39	MSB-5B2	MSB-5E12	MSBL5	MSBL9	MVP-88	Mycoplasmatales	Myxococcales	Nanohaloarchaeales	NB1-j	Nitrosococcales	Nitrososphaerales	Nitrospirales	Nostocales	NRB23	Obscuribacterales	Oceanospirillales	Oligoflexales	OPB41	OPB56	Opitutales	Orbales	Paracaedibacterales	Parvibaculales	Pasteurellales	PB19	Pedosphaerales	PeM15	Petrotogales	Phycisphaerales	Pirellulales	pItb-vmat-80	Pla1_lineage	Planctomycetales	PLTA13	Propionibacteriales	Pseudanabaenales	Pseudomonadales	Pseudonocardiales	Puniceispirillales	Pyrinomonadales	R7C24	RBG-13-46-9	RBG-13-54-9	RCP2-54	Reyranellales	Rhizobiales	Rhodobacterales	Rhodospirillales	Rhodothermales	Rhodovibrionales	Rickettsiales	Rokubacteriales	Rs-K70_termite_group	Rubrobacterales	Run-SP154	S-70	S085	Saccharimonadales	Salinisphaerales	SAR11_clade	SAR202_clade	SAR324_clade(Marine_group_B)	SAR86_clade	SBR1031	Selenomonadales	SJA-15	SJA-28	Sneathiellales	Solibacterales	Solirubrobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Steroidobacterales	Streptomycetales	Streptosporangiales	Subgroup_13	Subgroup_2	Subgroup_7	Sulfolobales	Sva0485	Synechococcales	Synergistales	Syntrophobacterales	Tepidisphaerales	Thermales	Thermoanaerobaculales	Thermoflexales	Thermomicrobiales	Thermoproteales	Thiohalorhabdales	Thiotrichales	Tistrellales	UA11	Unknown_Order	vadinBA26	Verrucomicrobiales	Vibrionales	Victivallales	WCHB1-41	Xanthomonadales	others	BioProject	sample_alias	env_material	time	ID	prepost
SRR39238494	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85720902275817	0	0	1.8681926130719	0	0	0	0	0	0	0	0	0	0	0	3.22065856761194	4.37471213468373	0	0	0	0	2.9659800686009	1.60893148013705	0	0	0	0	0	0	0	0	0	0	0	0.968310551521016	0	0	0	0	0	0	0	0	0	0	0	0	0.453872205451626	0	0	0	0	0	0	0	0	4.1605167464496	0	2.77761243543495	2.86505587228404	0	0	0	0	0	0	0	0	0	2.69870965627249	0	0	0	0	0	0	0	0	2.73408237965939	0	0	2.86011182016969	0	0	0	1.45719076416207	0	0	0	3.94287246528288	0	0	0	1.67293427602342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.17203029901051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57832379666874	0	0	0	0	0.67091797425235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.922958726278176	0	0	0	0	0	0	0	3.45601598705321	0	0	0	0	0	0	0	0	0	0	0.922958726278176	0	3.09948378645717	0	0	0	0	0	0	0	0	1.3973683604989	0	0	0	0	0	0	0	0	0	0	0	1.08141015546013	0	0	0	0	0	0	3.37678107772574	0	0	0	0	0	0	1.22195659546701	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67091797425235	0	0	0	0	0	0	0	0	0	0	0	2.60321634145455	0	0	0.872312753197029	2.56133275378241	PRJNA1480144	SDPr01	fecal	Pre	1	0
SRR39238509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.546574213843778	3.16778069458063	4.43377710939888	0	0	0	0	3.67557861567774	2.73869772793924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70022752044938	0	0	0	1.70022752044938	0	0	0.679462747092805	0	0	0	0	0	4.04597150591621	0	2.7203356254593	1.64191361000306	1.92514927291065	0	0	0	0	0	0	0	0	2.61335712382151	0	0.546574213843778	1.74182496724595	0	0	0	0	0	3.83527790998573	0	0	3.12522591013089	0	0	0	0.781073712336104	0	0	0	1.2400913062938	0	0	1.41834367906837	0.546574213843778	0	0	1.2400913062938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90509475154509	0	0	0	0	0	0	1.55971013345374	0	0	0	0	0	0	0	0	1.54435895311058	2.38324865851219	0	1.54435895311058	0	1.57453716411986	0	0	0	0	0	0	2.2759077869468	0	0	0	0	0	0	0	0	0.781073712336104	1.04457985288154	0	0	0.932512686293245	0	0	0	2.66246178981947	0.679462747092805	0.546574213843778	0	0	0	0	0	0	0	0	1.602753914636	0	1.96843313761781	1.70022752044938	0	0	0	0	0.546574213843778	0	0	2.65039035557473	0	0	0	0	0	0	0	0	0	0	0	1.602753914636	0	0	0	0	0	0.863360893154085	3.57866264144405	0	0	0	1.20740637346258	1.49475368430899	0	1.89135790311501	0	1.20740637346258	0	0	0	0	0	0	0	0	2.09072491654151	0	0	0	0	0	0.932512686293245	0	0	0	0	0	0	0	0.932512686293245	0	0	0	1.62924869188408	2.79131347936659	PRJNA1480144	SDPo01	fecal	Post	1	1
SRR39238493	0	0	0	0	0	0	1.3782046614223	0	0	0	0	0	0	2.69979610298743	0	0	1.76058130613217	0	0.764834499422692	0	0	0	0	0	0	0	0	0	2.10957375393336	4.42644662741866	0	0	0.846554694077221	0	3.11060076355046	2.37053620970289	0	0.532678869266772	0	0	0	0	0	0	0	0	0	2.66952169098588	0	0	0	0	0	0	0	0	0	0	1.02684482552418	0.764834499422692	0	0	0	0	1.47585831523716	0	0	0	0	4.3143542826715	0	2.65702576369059	2.42885401712734	0	0	0	0	0	0	0	0	1.43938762930913	1.3782046614223	0	0	0	0	0	0	0	0	2.50055526825977	0	0	2.32349635707164	0	0	0	0.764834499422692	0	0	0	3.46663480327337	0	0	1.02684482552418	1.3782046614223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02684482552418	0	0	0	0	0	3.25634274941731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56985484907863	0	0	0.764834499422692	0	0.532678869266772	0	0	0	0	0	2.44039331337047	0.664088013945872	0	0	0	0	0	0	0	0	1.81190522440356	0	0	0	0	2.74817442550124	0	0	2.42493843070761	0	0	0	0	0	0	0.915305973630895	0	0	0	1.82774844940076	0	2.63938486935036	0	0	0	0	0	0	0	0	0	1.3069663743726	0	0	0	1.39957113335681	0	0	0	0	0	0	1.59715213867717	0	0	0	0	0	0.664088013945872	3.42582826780415	0	0.532678869266772	0	0	0	0.532678869266772	1.02684482552418	2.11762914875658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.664088013945872	0	0	0	0	0	0	0	0	2.34054593060923	0	0.664088013945872	0.846554694077221	2.87594651314224	PRJNA1480144	SDPr02	fecal	Pre	2	0
SRR39238551	0.827608213355174	0	1.09507852236857	0	0	0	0.706577478132213	0	0	0	0.771295432007541	0	0	0	0	0	0	1.78311710758345	2.44815505304691	0	0	0	0.877450214707631	0	1.23938516592364	0	0	0	1.77125412542905	4.41215887445741	0	0	0	0	3.53770822223439	1.25938109146313	1.81687750864321	0	0	0	0	1.17319821821431	0	0.999755985292449	1.47156293050977	1.1486871245792	0	0	0	0	0	0	0	0	0	0	0.630497509376307	0	1.40705311587458	0	2.15864124300242	0.922156433605452	0	0.420837041408731	0.538198279663269	0.630497509376307	0	0	0	4.12748140012522	0.999755985292449	2.44688786406811	1.21842395905174	0.706577478132213	0	0	0	0	0.922156433605452	1.59583278263609	1.34751444036785	1.19639952694896	1.74009648483145	0.827608213355174	0	0	1.34751444036785	0	0	0	0	3.15863955001549	0	0	2.74009204670434	0	0	1.12270946865424	0	0.877450214707631	0	0	3.92250623841088	0	2.14614075367058	0.877450214707631	0	0	1.03390821040198	1.51705299088792	0	0	0	0	0	0	0.630497509376307	0.538198279663269	1.21842395905174	0.771295432007541	0	0	0	0	0	0	0	0	0	0	3.55526306873926	0	0	0.420837041408731	0.877450214707631	0	0	0	0	0.630497509376307	0	0	0.630497509376307	0.999755985292449	0	0	0.827608213355174	0	0.538198279663269	1.91785783077615	0	1.1486871245792	0	0	0	0.538198279663269	0	0	1.1486871245792	0	1.43401734514802	0	0	1.90919097870244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27849673956727	0.420837041408731	0.538198279663269	1.09507852236857	0	0	1.06556945596422	1.54829344965817	0.706577478132213	0	0.706577478132213	0	0	0	0	0	1.17319821821431	0	0.420837041408731	2.67841332007155	2.12269107814614	0.999755985292449	0	0.827608213355174	0	0	0	0	1.43401734514802	0	0	0.420837041408731	0	0	0	0	0	1.77125412542905	3.03813248836328	1.1486871245792	0.999755985292449	0	0.877450214707631	2.180273568446	1.25938109146313	1.34751444036785	0	1.84820174478653	0	0	0	0	1.03390821040198	0	0	0	2.16109873679972	1.79466464362674	0	0	1.61348121418572	0	1.5774366811892	0	0	0	0.771295432007541	0	0	0	1.48338989161952	0	0	0	1.85816043879853	2.89765605308224	PRJNA1480144	SDPo02	fecal	Post	2	1
SRR39238476	0	0	0	0	0	0.389637851501893	0.591657257593449	0	0	0.665736399779827	0	1.19107715962476	0.502289744118073	2.14528748770211	0	1.54577180762839	2.22545460854649	0	0	0	0	0	0	0.389637851501893	0.833188649596601	0	0	0	2.52987175345826	3.8255065241242	0	0	0.389637851501893	0	2.55519289826844	2.02956390130575	0	0	0	0	0	0	0	0	0	0	0	2.7500871551264	0	0	0	0	0	0	2.11490106048981	0.389637851501893	1.10110418383916	0	0	0	0.987486480323953	0	0	0	1.35774323185409	0	0	0	0	4.22914964958808	0	2.3530240580059	3.02381176477169	0.729001779190022	0	0.591657257593449	0.784212043519758	0	0.502289744118073	0	0	0	1.92700117599132	0	0	0	0	0	0	0	0.665736399779827	4.11029347184552	0	0	2.28171231901541	0	0.502289744118073	0	2.36270998433055	0.784212043519758	0	0	2.48786186959679	0	0.729001779190022	0.502289744118073	0	0	0	1.22991955820162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.18805161933302	0	0	0	0	0.389637851501893	0	0	0	0	0.665736399779827	0	0	0	0	0	1.88798168023407	0	0	1.01879651836485	0	1.07536339900445	0	0	0	0	0	0	0.877197523488466	0	0	0	0	0.987486480323953	0	0	0	1.92700117599132	0.591657257593449	0	0	0	0.591657257593449	0	0	2.78921139222873	0	0.502289744118073	0	0	0	0	0	0	0	0	1.77693965432971	0	2.69196513853782	0	0	0.591657257593449	0	0	0.389637851501893	0.502289744118073	0	1.52743544213371	1.51796852531584	0	0	0	0	0	0	0.987486480323953	0	0	0.502289744118073	0.502289744118073	0	0	0	0	0	0	3.29288073293559	0	0	0	0.953742572261818	1.2823566414067	0.877197523488466	1.48826280590854	0.987486480323953	0.833188649596601	0.877197523488466	0	0	0.877197523488466	0	0	0	0	0.591657257593449	0.502289744118073	0	0	0	0	0.389637851501893	0	0	0	0	0	0.833188649596601	0	1.34367659597522	2.63373286016108	0	0	1.47789154286558	3.24159513930773	PRJNA1480144	SDPr03	fecal	Pre	3	0
SRR39238475	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16677826887673	0	0	0	0	0	0	0	0	0	0	0.515912792029834	0	0	0	1.22947857428859	4.47430318702682	0	0	0	0	2.18904036670239	1.0660041968519	0	0	0	0	0	0	0	0	0	0	0	2.09918351161173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60772408381787	0	0	0	0	4.34361664677265	0	2.40242037686282	1.40351751842658	0	0	0	0	0	0	0	0	0	2.85598679541387	0	0	0	0	0	0	0	0	2.96124917622326	0	0	2.30463244072536	0	0	0	0	0.681285594906129	0	0	3.59329333246256	0	0	0	0	0	0	1.00523100609488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08039338741599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.606423526830381	0	0	0	0	0	0	0.401434337406217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34796870166551	0	0	0	0	0	0	0	0	0	0	0.401434337406217	0	0	0	0	0	0	0	0	0	0	2.99956929131013	0	0	0	0	1.51751415445947	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33408329369164	0	0	0	0.401434337406217	0	0.515912792029834	0	0	0	0.401434337406217	0	0	0	0	0	0	0	0	0	0	0	0	0	0.401434337406217	0	0	0	0	0	0	0	0	0	0	0	1.64665451740146	1.95756692342083	PRJNA1480144	SDPr04	fecal	Pre	4	0
SRR39238550	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03132836665536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.628321397759801	4.44744375104155	0	0	0	0	3.27843669767738	0	0	0	0	0	0	0	0	0	0	0	0	1.06297107081723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59306149844424	0	0	0	0	4.03277714362272	0	1.61070704914944	1.46881561123433	0	0	0	0	0	0	0	0	0	1.45666026727123	0	0	0	0	0	0	0	0	4.05772751258895	0	0	2.70158775969017	0	0	0	0	0	0	0	3.61775045544014	0	0	0.419074639554538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51421061585848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.536180086341224	0	0	0	0	0	0	0	0	0	0	0	0.628321397759801	0	0.419074639554538	0	0	0	0	0	0	0	0	0.70429416873218	0	1.19373736505283	0	0	0	0	0	0	0	0	2.79010899962141	0	0	0	0	1.67488945006148	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72811340091043	0	0	0	0	0.9601542386345	0	0	0	0	0	0	0	0	0.536180086341224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17054601244735	3.51062424345728	PRJNA1480144	SDPo04	fecal	Post	4	1
SRR39238474	0	0	0	0	0	0	0.576364775164173	0	0	0	0	0.576364775164173	0	1.1510161997844	0	2.56345057878134	0.712254366572617	0	0	0	0	0	0	0	0.377506897546446	0	0	0	2.64421181285805	3.66146994948799	0	0	0	0	2.24944409526287	1.649633725612	0.377506897546446	0	0	0.968978137989334	0	0	0	0	0.377506897546446	0	0	2.52209437647707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.06734642193226	0	2.23916218191391	1.41383316860988	0.649602966363854	0	0	0	0	0	0	0	0	1.49792761119092	0	0	0	0	0	0	0	0	3.24808793215997	0	0	2.1015810952183	0	0	0	1.19155070618784	0.712254366572617	0	0	3.8815459183956	0	0.766996659831912	0.488219583687813	0	0	0	0.968978137989334	0	0	0	0.488219583687813	0	0	0	0	0	0	0	0	0	0	0	0.488219583687813	0	0	0	0	3.4581274568558	0	0	0.377506897546446	0	0	0	0	0	0	0	0	0	0	0	0	1.56014694869535	0.8156047549692	0	1.19155070618784	0	0	0	0	0	0	0	0	0.488219583687813	0	0	0	0.576364775164173	0.899027129452032	0	0	0	1.58430572291572	0	0	0.377506897546446	0	0	0	0	4.4163024972569	0	0	0	0	0	0	0	0	0	0	0.859315915708657	0	1.78711972716741	0	0	0.712254366572617	0	0	0	0	0	0.859315915708657	1.29444137197328	0	0	0	0	0	0	0	0	0	0	0.488219583687813	0	0	0.712254366572617	0	0	0	2.06690704339836	0	0	0	0	0	0	0.899027129452032	0	0	0	0	0	0.377506897546446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8063300934689	1.62180440558425	0	0	1.02920968936358	3.69130879970799	PRJNA1480144	SDPr05	fecal	Pre	5	0
SRR39238473	0	0	0	0	0	0	0.469289767318672	0	0	0	0	0.989393783736607	0	1.50707545823005	0	1.19306616965089	0.989393783736607	0	0	0	0	0	0	0	0	0	0	0.469289767318672	3.04966202895763	4.34691480330807	0	0	0.469289767318672	0	3.38527451034373	3.12651056394155	0	0	0	0	0	0	0	0	0	0	0	2.70422551384505	0	0	0	0	0	0	1.31098773604533	0	0	0	0	0	1.70443249897774	0	0	0	0.469289767318672	0	0.835002798655961	0	0	4.38674723934222	0	2.55407949036157	1.97509420856125	0	0	0	0	0	0	0	0	0	2.35931792984722	0	0.469289767318672	0	0	0	0	0	0	3.54450498947748	0	0	2.18417500656094	0	0	0	0.835002798655961	0	0	0	2.63658605822379	0	0.593239563180548	0.593239563180548	0	0	0	0.469289767318672	0	0	0	0	0	0	0	0.593239563180548	0.469289767318672	0	0	0	0	0	0	0	0	0	0	0	3.40234113780628	0	0	0.593239563180548	0	0	0	0	0	0	0	0	0	0	0	0	1.36890856437549	0	0.835002798655961	0.835002798655961	0	0.469289767318672	0	0	0	0	0	0.689555129002809	0.943768825890072	0	0	0	0	0	0	0	0	1.72081439920522	0	0	0	0	0	0	0	2.87975197955894	0	0.689555129002809	1.03067800294689	0	0	0	0	0	0	0	1.59055811979888	0	2.01769472930215	0	0	0.593239563180548	0	0	0	0	0	1.36890856437549	0	0	0	0	0.768339624412219	0	0	0	0	0	0	0	0.469289767318672	0	0	0	0	0	2.74103673182532	0	0	0	0	0.593239563180548	0.768339624412219	1.49372281532016	0	0	0	0	0	0.469289767318672	0	0	0.689555129002809	0	0	0	0	0	0	0	0	0	0	0	0.989393783736607	0	0	0	1.5682974542672	2.00115251693964	1.54483383461564	0	1.45100947219973	2.66032247535497	PRJNA1480144	SDPr06	fecal	Pre	6	0
SRR39238472	0	0	0	0	0	0	0.493097517138655	0	0	0.493097517138655	0	0	0	2.07146580628037	0	1.99508752487385	0	0	0	0	0	0	0	0	0	0	0	0	1.61422087026374	4.41912716263228	0	0	0	0	2.92879646976904	3.51177515123882	0	0	0	0	0	0	0	0	0	0	0	3.59229674343257	0	0	0	0	0	0	0	0	0.381706392927767	0	0	0	0	0	0	0	0.581671354655673	0	0	0	0	4.00515770067052	0	2.52837432015038	1.46486994735796	0	0	0	0.718072185184936	0	0	0	0	0	2.1748537768015	0	0	0	0	0	0	0	0.718072185184936	3.3449222681205	0	0	2.01028267783059	0	0	0	0.381706392927767	0.975416205805117	0	0	2.84435359836494	0	0.581671354655673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.70343159949593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48534958720636	0	0	0.381706392927767	0	0	0	0	0	0	0	0	0.718072185184936	0	0	0	0	0	0	0	0	1.3012847676447	0	0	0	0	0	0	0	2.30617526377031	0	0	0	0	0	0	0	0	0	0	0	0	1.59909244566807	0	0	0.493097517138655	0	0	0	0	0	1.0066285567182	0.77297915215235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09364962611903	0	0	0	0	0	0	1.66995803183497	0	0.493097517138655	0	0	0	0	0	0	0	0	0	0.381706392927767	0	0	0	0	0	0	0	0	0	0	0	0	1.13591116180792	1.19829701962419	0	0	0.655204907052442	2.40806704734325	PRJNA1480144	SDPr08	fecal	Pre	8	0
